set_num,name,year,num_parts,theme
7142-1,X-wing Fighter,2002,273,Star Wars
7139-1,Ewok Attack,2002,121,Star Wars
7163-1,Republic Gunship,2002,697,Star Wars
7143-1,Jedi Starfighter,2002,139,Star Wars
7103-1,Jedi Duel,2002,82,Star Wars
3219-1,TIE Fighter - Mini,2002,12,Star Wars
8011-1,Jango Fett,2002,425,Star Wars
8010-1,Darth Vader,2002,388,Star Wars
8009-1,R2-D2,2002,239,Star Wars
8012-1,Super Battle Droid,2002,378,Star Wars
K720x-1,Story Teller Pack,2002,0,Star Wars
K7204-1,Jedi Adventure Kit,2002,0,Star Wars
65081-1,R2-D2 / C-3PO Droid Collectors Set,2002,1,Star Wars
K7153-1,Episode II Ultimate Action Kit,2002,0,Star Wars
K8008-1,Darth Vader / Stormtrooper Kit,2002,0,Star Wars
K4488-1,Star Wars Miniatures Kit II,2003,0,Star Wars
VP-10,Star Wars Value Pack with Free LEGO Backpack (K-Mart Australia Exclusive),2003,1,Star Wars
K4487-1,Star Wars Miniatures Kit I,2003,0,Star Wars
4504-2,"Millennium Falcon (Redesign), Original Trilogy Edition box",2003,996,Star Wars
4504-1,"Millennium Falcon (Redesign), Blue box",2003,997,Star Wars
K4482-1,Episode II Final Scene Kit,2003,0,Star Wars
4502-1,X-wing Fighter,2003,564,Star Wars
K4480-1,Jabba's Palace Kit,2003,0,Star Wars
4501-1,"Mos Eisley Cantina, Blue box",2003,197,Star Wars
K4479-1,TIE Bomber & TIE Fighter Kit,2003,0,Star Wars
4500-1,Rebel Snowspeeder [Redesign] - Blue box,2003,217,Star Wars
4207901-1,Star Wars MINI Bonus Pack,2003,0,Star Wars
4482-1,AT-TE,2003,651,Star Wars
4476-1,Jabba's Prize,2003,40,Star Wars
4479-1,TIE Bomber,2003,229,Star Wars
4480-1,Jabba's Palace,2003,234,Star Wars
4481-1,Hailfire Droid,2003,680,Star Wars
4475-1,Jabba's Message,2003,46,Star Wars
4483-1,"AT-AT, black box",2003,1070,Star Wars
4477-1,T-16 Skyhopper,2003,98,Star Wars
4484-1,X-wing Fighter & TIE Advanced - Mini,2003,72,Star Wars
4486-1,AT-ST & Snowspeeder - Mini,2003,76,Star Wars
4487-1,Jedi Starfighter & Slave I - Mini,2003,53,Star Wars
4488-1,Millennium Falcon - Mini,2003,87,Star Wars
4489-1,AT-AT - Mini,2003,98,Star Wars
4490-1,Republic Gunship - Mini,2003,102,Star Wars
4491-1,Trade Federation MTT - Mini,2003,99,Star Wars
4485-1,Sebulba's Podracer & Anakin's Podracer - Mini,2003,72,Star Wars
4478-1,"Geonosian Fighter, Black Box",2003,171,Star Wars
6965-1,TIE Interceptor,2004,32,Star Wars
K10131-1,Battle of Yavin Collection,2004,0,Star Wars
6964-2,Boba Fett's Slave I - Mini (Polybag),2004,25,Star Wars
6963-2,X-wing Fighter,2004,41,Star Wars
6964-1,Boba Fett's Slave I - Mini (Kabaya Box),2004,25,Star Wars
K4492-1,Star Wars Miniatures Kit III,2004,0,Star Wars
6963-1,X-wing Fighter,2004,41,Star Wars
4501-2,"Mos Eisley Cantina, Original Trilogy Edition box",2004,196,Star Wars
4493-1,Sith Infiltrator - Mini,2004,55,Star Wars
4492-1,Star Destroyer - Mini,2004,87,Star Wars
4483-2,"AT-AT, blue box",2004,1070,Star Wars
4478-2,Geonosian Fighter Blue Box,2004,172,Star Wars
445062-1,Star Wars Co-Pack of 4500 and 4504,2004,0,Star Wars
4500-2,"Rebel Snowspeeder (redesign), Original Trilogy Edition box",2004,211,Star Wars
4502-2,X-wing Fighter,2004,564,Star Wars
4495-1,AT-TE - Mini,2004,63,Star Wars
4494-1,Imperial Shuttle - Mini,2004,82,Star Wars
7262-1,TIE Fighter and Y-wing,2004,417,Star Wars
K7283-1,V-wing Space Battle Collection,2005,0,Star Wars
tf05-1,Lego Toy Fair 2005 Star Wars V.I.P. Gala Set,2005,60,Star Wars
7283-1,Ultimate Space Battle,2005,565,Star Wars
7261-1,Clone Turbo Tank [Light-Up Mace Windu],2005,809,Star Wars
7264-1,Imperial Inspection,2005,379,Star Wars
7263-1,TIE Fighter,2005,161,Star Wars
65771-1,Episode III Collectors' Set,2005,2,Star Wars
65844-1,Star Wars Co-Pack of 7255 4492 and 4494,2005,0,Star Wars
sw117promo-1,Darth Vader: 56. International Toy Fair Nuernberg,2005,3,Star Wars
SWMP-1,Star Wars / M&M Mosaic - Promo Set,2005,5462,Star Wars
7259-1,ARC-170 Starfighter,2005,400,Star Wars
6965-2,TIE Interceptor,2005,32,Star Wars
6966-1,Jedi Starfighter - Mini,2005,38,Star Wars
6966-2,Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,38,Star Wars
6967-1,ARC-170 Starfighter - Mini,2005,42,Star Wars
6967-2,ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,42,Star Wars
6968-1,Mini Wookiee Attack,2005,48,Star Wars
7250-1,Clone Scout Walker,2005,109,Star Wars
7251-1,Darth Vader Transformation,2005,60,Star Wars
7252-1,Droid Tri-Fighter,2005,148,Star Wars
7255-1,General Grievous Chase,2005,112,Star Wars
7256-1,Jedi Starfighter & Vulture Droid,2005,203,Star Wars
7257-1,Ultimate Lightsaber Duel,2005,280,Star Wars
7258-1,Wookiee Attack,2005,366,Star Wars
65845-1,Star Wars Co-Pack of 7256 4492 and 4494,2005,0,Star Wars
7260-1,Wookiee Catamaran,2005,380,Star Wars
7261-2,Clone Turbo Tank (with Non-Light-Up Mace Windu),2006,819,Star Wars
6208-1,B-wing Fighter,2006,439,Star Wars
6209-1,Slave I,2006,537,Star Wars
6212-1,X-wing Fighter,2006,437,Star Wars
6211-1,Imperial Star Destroyer,2006,1389,Star Wars
6205-1,V-wing Fighter,2006,118,Star Wars
6206-1,TIE Interceptor,2006,212,Star Wars
6207-1,A-wing Fighter,2006,194,Star Wars
6210-1,Jabba's Sail Barge,2006,782,Star Wars
7660-1,Naboo N-1 Starfighter and Vulture Droid,2007,279,Star Wars
7657-1,AT-ST,2007,243,Star Wars
7656-1,General Grievous Starfighter,2007,232,Star Wars
7655-1,Clone Troopers Battle Pack,2007,58,Star Wars
7654-1,Droids Battle Pack,2007,102,Star Wars
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,2007,575,Star Wars
4521221-1,Gold chrome plated C-3PO,2007,3,Star Wars
7659-1,Imperial Landing Craft,2007,471,Star Wars
7666-1,Hoth Rebel Base [Limited Edition - with K-3PO],2007,557,Star Wars
7665-1,Republic Cruiser (Limited Edition - with R2-R7),2007,919,Star Wars
7664-1,TIE Crawler,2007,546,Star Wars
7663-1,Sith Infiltrator,2007,310,Star Wars
7662-1,Trade Federation MTT,2007,1326,Star Wars
66221-1,X-wing Fighter and Luke Pilot Maquette Co-Pack,2007,0,Star Wars
7658-1,Y-wing Fighter,2007,454,Star Wars
7667-1,Imperial Dropship,2008,81,Star Wars
7678-1,Droid Gunship,2008,329,Star Wars
7669-2,Anakin's Jedi Starfighter Clone Wars White Box,2008,152,Star Wars
7669-1,Anakin's Jedi Starfighter,2008,153,Star Wars
7680-1,The Twilight - Limited Edition,2008,887,Star Wars
7681-1,Separatist Spider Droid,2008,214,Star Wars
8028-1,TIE Fighter - Mini,2008,44,Star Wars
8029-1,Mini Snowspeeder,2008,66,Star Wars
8031-1,V-19 Torrent - Mini,2008,66,Star Wars
comcon001-1,Clone Wars Pack - San Diego Comic-Con 2008 Exclusive,2008,33,Star Wars
7668-1,Rebel Scout Speeder,2008,81,Star Wars
7675-1,AT-TE Walker,2008,810,Star Wars
7673-1,Magna Guard Starfighter,2008,431,Star Wars
7672-1,Rogue Shadow,2008,481,Star Wars
7671-1,AT-AP Walker,2008,392,Star Wars
7670-2,Hailfire Droid & Spider Droid Clone Wars White Box,2008,249,Star Wars
7670-1,Hailfire Droid & Spider Droid,2008,249,Star Wars
7676-1,Republic Attack Gunship,2008,1044,Star Wars
7674-1,V-19 Torrent,2008,471,Star Wars
7679-1,Republic Fighter Tank,2008,595,Star Wars
20006-1,Clone Turbo Tank - Mini,2008,64,Star Wars
30005-1,Imperial Speeder Bike,2009,33,Star Wars
7778-1,Midi-Scale Millennium Falcon,2009,355,Star Wars
comcon010-1,Mini Republic Dropship Mini AT-TE Brickmaster Pack - San Diego Comic-Con 2009 Exclusive,2009,202,Star Wars
comcon009-1,Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive,2009,17,Star Wars
comcon011-1,LEGO Star Wars Holo-Brick Archives San Diego Comic-Con 2009 Exclusive,2009,3,Star Wars
comcon008-1,Collectible Display Set 3 - San Diego Comic-Con 2009 Exclusive,2009,16,Star Wars
comcon007-1,Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,2009,17,Star Wars
7754-1,Home One Mon Calamari Star Cruiser - Limited Edition,2009,788,Star Wars
comcon006-1,Collectible Display Set 4 - San Diego Comic-Con 2009 Exclusive,2009,30,Star Wars
8037-1,Anakin's Y-wing Starfighter,2009,570,Star Wars
20009-1,AT-TE Walker - Mini,2009,94,Star Wars
8038-1,The Battle of Endor,2009,890,Star Wars
20007-1,Republic Attack Cruiser - Mini,2009,84,Star Wars
8039-1,Venator-Class Republic Attack Cruiser,2009,1170,Star Wars
comcon004-1,Collectible Display Set 1 - San Diego Comic-Con 2009 Exclusive,2009,16,Star Wars
66308-1,Star Wars Super Pack 3 in 1 (7667 7668 8017),2009,0,Star Wars
8036-1,Separatist Shuttle,2009,258,Star Wars
8033-1,General Grievous Starfighter - Mini,2009,44,Star Wars
7749-1,Echo Base,2009,155,Star Wars
30004-1,Battle Droid on STAP,2009,28,Star Wars
TOYFAIR-1,"Toy Fair 2009, Chrome Black Darth Vader",2009,7,Star Wars
8014-1,Clone Walker Battle Pack,2009,80,Star Wars
2853590-1,Stormtrooper,2009,5,Star Wars
8015-1,Assassin Droids Battle Pack,2009,94,Star Wars
7748-1,Corporate Alliance Tank Droid,2009,216,Star Wars
4547551-1,Darth Vader 10 Year Anniversary Promotional Minifigure,2009,7,Star Wars
7753-1,Pirate Tank,2009,371,Star Wars
comcon005-1,Collectible Display Set 2 - San Diego Comic-Con 2009 Exclusive,2009,13,Star Wars
8017-1,Darth Vader's TIE Fighter,2009,257,Star Wars
8018-1,Armored Assault Tank (AAT),2009,406,Star Wars
20010-1,Republic Gunship,2009,94,Star Wars
8019-1,Republic Attack Shuttle,2009,636,Star Wars
7751-1,Ahsoka's Starfighter and Vulture Droid,2009,291,Star Wars
30006-1,Clone Walker,2009,31,Star Wars
7752-1,Count Dooku's Solar Sailer,2009,384,Star Wars
8016-1,Hyena Droid Bomber,2009,235,Star Wars
8088-1,ARC-170 Starfighter,2010,396,Star Wars
8089-1,Hoth Wampa Cave,2010,297,Star Wars
8128-1,Cad Bane's Speeder,2010,317,Star Wars
8092-1,Luke's Landspeeder,2010,163,Star Wars
8093-1,Plo Koon's Jedi Starfighter,2010,175,Star Wars
8095-1,General Grievous' Starfighter,2010,453,Star Wars
8097-1,Slave I,2010,563,Star Wars
8098-1,Clone Turbo Tank,2010,1145,Star Wars
8099-1,Midi-Scale Imperial Star Destroyer,2010,423,Star Wars
30050-1,Republic Attack Shuttle - Mini,2010,54,Star Wars
30051-1,X-wing Fighter - Mini,2010,61,Star Wars
8091-1,Republic Swamp Speeder,2010,175,Star Wars
8087-1,TIE Defender,2010,304,Star Wars
8096-1,Emperor Palpatine's Shuttle,2010,592,Star Wars
8085-1,Freeco Speeder,2010,176,Star Wars
20018-1,AT-AT Walker - Mini,2010,83,Star Wars
8086-1,Droid Tri-Fighter,2010,267,Star Wars
2853835-1,White Boba Fett Figure,2010,5,Star Wars
66368-1,Star Wars Super Pack 3 in 1 (8083 8084 8092),2010,0,Star Wars
66364-1,Star Wars Super Pack 3 in 1 (7749 8083 8084),2010,0,Star Wars
66341-1,Star Wars Super Pack 3 in 1 (8014 8015 8091),2010,0,Star Wars
66366-1,Star Wars Super Pack  3 in 1 (8089 8083 7749),2010,0,Star Wars
CELEBV-1,Fan Celebration V - CubeDude - The Bounty Hunter Edition,2010,497,Star Wars
8083-1,Rebel Trooper Battle Pack,2010,79,Star Wars
8129-1,AT-AT Walker,2010,814,Star Wars
8084-1,Snowtrooper Battle Pack,2010,74,Star Wars
20016-1,Imperial Shuttle - Mini,2010,70,Star Wars
7877-1,Naboo Starfighter,2011,318,Star Wars
66396-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
7879-1,Hoth Echo Base,2011,773,Star Wars
7868-1,Mace Windu's Jedi Starfighter,2011,308,Star Wars
66377-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
66378-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
66395-1,Super Pack 3 in 1,2011,0,Star Wars
7869-1,Battle for Geonosis,2011,335,Star Wars
30053-1,Republic Attack Cruiser - Mini,2011,41,Star Wars
20019-1,Slave I,2011,76,Star Wars
30052-1,AAT,2011,46,Star Wars
30054-1,AT-ST - Mini,2011,46,Star Wars
20021-1,Bounty Hunter Gunship - Mini,2011,81,Star Wars
COMCON015-1,Star Wars Advent Calendar 2011 (San Diego Comic-Con Exclusive),2011,0,Star Wars
2856197-1,Shadow ARF Trooper,2011,5,Star Wars
30055-1,Vulture Droid - Mini,2011,42,Star Wars
5000067-1,Star Wars Sith Kit,2011,0,Star Wars
7914-1,Mandalorian Battle Pack,2011,68,Star Wars
7913-1,Clone Trooper Battle Pack,2011,85,Star Wars
7929-1,The Battle of Naboo,2011,241,Star Wars
7930-1,Bounty Hunter Gunship,2011,390,Star Wars
7931-1,Jedi T-6 Shuttle,2011,389,Star Wars
7956-1,Ewok Attack,2011,166,Star Wars
7957-1,Sith Nightspeeder,2011,214,Star Wars
7959-1,Geonosian Starfighter,2011,163,Star Wars
7961-1,Darth Maul's Sith Infiltrator,2011,479,Star Wars
7962-1,Anakin's and Sebulba's Podracers,2011,810,Star Wars
7964-1,Republic Frigate,2011,1031,Star Wars
7915-1,Imperial V-wing Starfighter,2011,139,Star Wars
7958-1,Star Wars Advent Calendar 2011,2011,267,Star Wars
7965-1,Millennium Falcon,2011,1253,Star Wars
9495-1,Gold Leader's Y-wing Starfighter,2012,457,Star Wars
9500-1,Sith Fury-class Interceptor,2012,748,Star Wars
9496-1,Desert Skiff,2012,220,Star Wars
30057-1,Anakin's Pod Racer,2012,38,Star Wars
30056-1,Star Destroyer,2012,38,Star Wars
9494-1,Anakin's Jedi Interceptor,2012,299,Star Wars
30058-1,STAP,2012,19,Star Wars
5001137-1,Battle Pack Collection,2012,0,Star Wars
9516-1,Jabba’s Palace,2012,717,Star Wars
5000062-1,Darth Maul,2012,7,Star Wars
9492-1,TIE Fighter,2012,413,Star Wars
9491-1,Geonosian Cannon,2012,133,Star Wars
9490-1,Droid Escape,2012,137,Star Wars
5000063-1,TC-14,2012,3,Star Wars
9489-1,Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,77,Star Wars
5001136-1,Buildable Galaxy Collection,2012,0,Star Wars
9488-1,Elite Clone Trooper & Commando Droid Battle Pack,2012,105,Star Wars
9499-1,Gungan Sub,2012,466,Star Wars
9498-1,Saesee Tiin's Jedi Starfighter,2012,244,Star Wars
9497-1,Republic Striker Starfighter,2012,376,Star Wars
9493-1,X-wing Starfighter,2012,560,Star Wars
30059-1,MTT,2012,51,Star Wars
9515-1,The Malevolence,2012,1100,Star Wars
celebvi-1,Boba Fett’s Slave I - Mini - Star Wars Celebration VI Exclusive,2012,81,Star Wars
5001307-1,Buildable Galaxy Collection II,2012,0,Star Wars
9509-1,Star Wars Advent Calendar 2012,2012,235,Star Wars
66411-1,Super Pack 3 in 1,2012,0,Star Wars
66431-1,"Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",2012,0,Star Wars
66432-1,Super Pack 3 in 1,2012,0,Star Wars
5001308-1,The Old Republic Collection,2012,0,Star Wars
comcon019-1,Darth Maul’s Sith Infiltrator - Mini - San Diego Comic-Con 2012 Exclusive,2012,91,Star Wars
COMCON024-1,Luke Skywalker's Landspeeder - Mini,2012,110,Star Wars
9679-1,AT-ST & Endor,2012,65,Star Wars
9678-1,Twin-pod Cloud Car & Bespin,2012,78,Star Wars
5001309-1,Return of the Jedi Collection,2012,0,Star Wars
9676-1,TIE Interceptor & Death Star,2012,65,Star Wars
9525-1,Pre Vizsla's Mandalorian Fighter,2012,403,Star Wars
9675-1,Sebulba's Podracer & Tatooine,2012,80,Star Wars
9526-1,Palpatine’s Arrest,2012,649,Star Wars
9674-1,Naboo Starfighter & Naboo,2012,56,Star Wars
9677-1,X-wing Starfighter & Yavin 4,2012,77,Star Wars
75020-1,Jabba’s Sail Barge,2013,850,Star Wars
75000-1,Clone Troopers vs. Droidekas,2013,124,Star Wars
75001-1,Republic Troopers vs. Sith Troopers,2013,63,Star Wars
75002-1,AT-RT,2013,222,Star Wars
75003-1,A-wing Starfighter,2013,177,Star Wars
75004-1,Z-95 Headhunter,2013,372,Star Wars
75015-1,Corporate Alliance Tank Droid,2013,277,Star Wars
75016-1,Homing Spider Droid,2013,295,Star Wars
75006-1,Jedi Starfighter & Planet Kamino,2013,61,Star Wars
75007-1,Republic Assault Ship & Planet Coruscant,2013,74,Star Wars
75008-1,TIE Bomber & Asteroid Field,2013,60,Star Wars
75009-1,Snowspeeder & Planet Hoth,2013,69,Star Wars
75010-1,B-wing Starfighter & Planet Endor,2013,83,Star Wars
75025-1,Jedi Defender-class Cruiser,2013,926,Star Wars
75017-1,Duel on Geonosis,2013,391,Star Wars
75022-1,Mandalorian Speeder,2013,211,Star Wars
75018-1,JEK-14's Stealth Starfighter,2013,550,Star Wars
75012-1,BARC Speeder with Sidecar,2013,226,Star Wars
75019-1,AT-TE,2013,793,Star Wars
75005-1,Rancor Pit,2013,381,Star Wars
75011-1,Tantive IV & Planet Alderaan,2013,102,Star Wars
75021-1,Republic Gunship,2013,1174,Star Wars
5001709-1,Clone Trooper Lieutenant,2013,5,Star Wars
30243-1,Umbaran MHC,2013,49,Star Wars
30242-1,Republic Frigate,2013,45,Star Wars
30241-1,Mandalorian Fighter,2013,49,Star Wars
30240-1,Z-95 Headhunter,2013,54,Star Wars
MAY2013-1,Holocron Droid,2013,31,Star Wars
YODACHRON-1,Yoda Chronicles Promotional Set,2013,413,Star Wars
comcon032-1,JEK-14 Mini Stealth Starfighter,2013,123,Star Wars
5001621-1,Han Solo (Hoth),2013,5,Star Wars
TRUJEK14-1,Jek-14 Stealth Fighter,2013,40,Star Wars
66473-1,Star Wars Super Pack 3 in 1,2013,0,Star Wars
66456-1,Star Wars Super Pack 3 in 1,2013,0,Star Wars
66449-1,"Star Wars Super Pack 3 in 1 (75000, 75003, 75014)",2013,0,Star Wars
75014-1,Battle Of Hoth,2013,416,Star Wars
75023-1,Star Wars Advent Calendar 2013,2013,254,Star Wars
75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,492,Star Wars
66495-1,Star Wars Super Pack 3 in 1,2014,0,Star Wars
66512-1,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,0,Star Wars
66514-1,"Star Wars Microfighters Super Pack 3 in 1 (75028, 75029, 75030)",2014,0,Star Wars
66515-1,Microfighters Super Pack 3-in-1,2014,0,Star Wars
75056-1,Star Wars Advent Calendar 2014,2014,275,Star Wars
5002123-1,Darth Revan,2014,7,Star Wars
5002122-1,TC-4,2014,3,Star Wars
66479-1,"Super Pack 3 in 1 (75015, 75035, 75043)",2014,0,Star Wars
FANEXPO001-1,The Ghost Starship,2014,134,Star Wars
75024-1,HH-87 Starhopper,2014,362,Star Wars
75048-1,The Phantom,2014,234,Star Wars
75050-1,B-Wing,2014,448,Star Wars
75051-1,Jedi Scout Fighter,2014,490,Star Wars
75052-1,Mos Eisley Cantina,2014,616,Star Wars
75053-1,The Ghost,2014,929,Star Wars
TRUXWING-1,X-Wing,2014,23,Star Wars
TRUTIE-1,TIE Fighter,2014,12,Star Wars
75054-1,AT-AT,2014,1137,Star Wars
TRUGHOST-1,Micro Ghost,2014,42,Star Wars
75055-1,Imperial Star Destroyer,2014,1358,Star Wars
75058-1,MTT,2014,953,Star Wars
comcon039-1,The Ghost Starship,2014,132,Star Wars
30244-1,Anakin's Jedi Intercepter,2014,45,Star Wars
30246-1,Imperial Shuttle,2014,57,Star Wars
30247-1,ARC-170 Starfighter,2014,54,Star Wars
75046-1,Coruscant Police Gunship,2014,481,Star Wars
75045-1,Republic AV-7 Anti-Vehicle Cannon,2014,434,Star Wars
75049-1,Snowspeeder,2014,279,Star Wars
75043-1,AT-AP,2014,717,Star Wars
75028-1,Clone Turbo Tank,2014,96,Star Wars
75029-1,AAT,2014,95,Star Wars
75030-1,Millennium Falcon,2014,94,Star Wars
75031-1,TIE Interceptor,2014,92,Star Wars
75032-1,X-Wing Fighter,2014,97,Star Wars
75033-1,Star Destroyer,2014,97,Star Wars
75034-1,Death Star Troopers,2014,100,Star Wars
75044-1,Droid Tri-Fighter,2014,263,Star Wars
75036-1,Utapau Troopers,2014,83,Star Wars
75035-1,Kashyyyk Troopers,2014,99,Star Wars
75038-1,Jedi Interceptor,2014,222,Star Wars
75039-1,V-Wing Starfighter,2014,200,Star Wars
75040-1,General Grievous' Wheel Bike,2014,261,Star Wars
75041-1,Vulture Droid,2014,204,Star Wars
75042-1,Droid Gunship,2014,439,Star Wars
75037-1,Battle on Saleucami,2014,178,Star Wars
TRUWOOKIE-1,Wookie Gunship,2015,41,Star Wars
TRUXWING2-1,Star Wars X-wing Fighter,2015,27,Star Wars
CELEB2015-1,Tatooine Mini-Build (Star Wars Celebration Version),2015,178,Star Wars
SWCOMIC1-1,X-Wing,2015,23,Star Wars
SDCC2015-2,Dagobah Mini-Build,2015,177,Star Wars
FANEXPO2015-1,Tatooine Mini-Build (FAN EXPO Version),2015,179,Star Wars
30275-1,TIE Advanced Prototype,2015,47,Star Wars
30274-1,AT-DP,2015,65,Star Wars
30276-1,First Order Special Forces TIE Fighter,2015,41,Star Wars
30272-1,A-Wing Starfighter,2015,58,Star Wars
75111-1,Darth Vader,2015,160,Star Wars
75081-1,T-16 Skyhopper,2015,247,Star Wars
75084-1,Wookiee Gunship,2015,570,Star Wars
75083-1,AT-DP,2015,500,Star Wars
75082-1,TIE Advanced Prototype,2015,355,Star Wars
30278-1,Poe's X-wing Fighter,2015,64,Star Wars
75080-1,AAT,2015,251,Star Wars
75079-1,Shadow Troopers,2015,95,Star Wars
75078-1,Imperial Troop Transport,2015,141,Star Wars
75077-1,Homing Spider Droid,2015,102,Star Wars
75076-1,Republic Gunship,2015,105,Star Wars
75075-1,AT-AT,2015,88,Star Wars
75074-1,Snowspeeder,2015,97,Star Wars
75073-1,Vulture Droid,2015,77,Star Wars
75072-1,ARC-170 Starfighter,2015,95,Star Wars
5002938-1,Stormtrooper Sergeant,2015,6,Star Wars
5002939-1,The Phantom,2015,23,Star Wars
5002947-1,Admiral Yularen,2015,4,Star Wars
5002948-1,C-3PO,2015,3,Star Wars
75097-1,Star Wars Advent Calendar 2015,2015,291,Star Wars
66536-1,Battle Pack 2 in 1,2015,0,Star Wars
911506-1,Snowspeeder,2015,19,Star Wars
66535-1,Battle Pack 2 in 1,2015,0,Star Wars
911508-1,Slave One,2015,20,Star Wars
911509-1,Imperial Shooter,2015,20,Star Wars
66533-1,Star Wars Super Pack 3 in 1,2015,0,Star Wars
75086-1,Battle Droid Troop Carrier,2015,565,Star Wars
75085-1,Hailfire Droid,2015,163,Star Wars
75088-1,Senate Commando Troopers,2015,106,Star Wars
911511-1,Jedi Weapon Stand,2015,16,Star Wars
911510-1,Star Destroyer & TIE Fighter,2015,21,Star Wars
75112-1,General Grievous,2015,186,Star Wars
75110-1,Luke Skywalker,2015,83,Star Wars
75109-1,Obi-Wan Kenobi,2015,83,Star Wars
75108-1,Clone Commander Cody,2015,82,Star Wars
75107-1,Jango Fett,2015,85,Star Wars
75106-1,Imperial Assault Carrier,2015,1216,Star Wars
75105-1,Millennium Falcon,2015,1330,Star Wars
